,,Rozwi?zanie1,Rozwi?zanie2,Rozwi?zanie3,Rozwi?zanie4
max_iter_100,kryt_1,0.428971963,0.089719626,0.069158879,1
,kryt_2,0,0.115384615,0.134615385,1
max_iter_200,kryt_1,0.445718654,0.111620795,0.04587156,1
,kryt_2,0,0.313432836,0.328358209,1
max_iter_400,kryt_1,0.316081331,0.066543438,0,1
,kryt_2,0,0.054945055,0.538461538,1
max_iter_800,kryt_1,0.508196721,0.43647541,0.424180328,1
,kryt_2,0,0.233576642,0.489051095,1
max_iter_1600,kryt_1,0.717605004,0.630920465,0.54691689,1
,kryt_2,0,0,0.006289308,1
